CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,FATALITIES,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,Data_update_timestamp
658121,10218521,"General Motors, LLC",BUICK,LESABRE,2002,N,2008-02-12,N,0,0,VISIBILITY:POWER WINDOW DEVICES AND CONTROLS,ST.  LOUIS,MO,1G4HP54K42U,2008-02-19,2008-02-19,42990,2,2002 BUICK LASABRE CUSTOM  REGULATORS AT BOTH REAR POWER WINDOWS MALFUNCTIONING.  THE CABLE THAT GUIDES WINDOW UP AND DOWN JUMPED THE TRACKING AND WAS CHEWED AND TWISTED MAKING IT NECESSARY TO BE REPLACED COSTING $400 AT EACH OCCURRENCE.  *TR,IVOQ,N,2007-09-04,N,Y,Y,6,FWD,FI,GS,AUTO,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
815449,10356675,Toyota Motor Corporation,TOYOTA,MATRIX,2006,N,2009-10-26,N,0,0,ENGINE AND ENGINE COOLING:ENGINE,HOPEWELL JUNCTION,NY,2T1LR32E26C,2010-09-20,2010-09-20,114668,1,"CHECK ENGINE LIGHT ON   THE VEHICLE STALL OUT WHILE DRIVING. MILEAGE   114,522 3 YEAR OLD CAR.  ECM MODULE REPLACE. DEALER REPLACE THE UNIT. 871.46 DOLLARS   CALL TOYOTA MAIN HEADQUARTERS SPOKE TO CUSTOMER SERVICE.THEY CLAIM THE VEHICLE IS A  AWD ALL WHEEL DRIVE AND IT'S NOT ON THE RECALL.   I HAVE CHECK TOYOTA MAIN WEB SITE RECALL . ENGINE TYPE IZZ-FE  WITH ECM  FROM 2005-2008 IS ON THE RECALL . THEY ARE LYING TO ME .  A THREE YEAR OLD CAR STALLING OUT AND TRYING TO GET REIMBURSE .TOYOTA IS GIVING ME A RUN AROUND. *TR",IVOQ,N,null,N,N,N,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,35,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
684573,10239378,"General Motors, LLC",SATURN,VUE,2003,N,2008-08-18,N,0,0,POWER TRAIN:AUTOMATIC TRANSMISSION,CENTENNIAL,CO,5GZCZ33D73S,2008-08-22,2008-08-22,47000,1,"2003 SATURN VUE, PURCHASED 11/2002.  NOW STARTING TO STALL PERIODICALLY WHEN SHIFTING INTO REVERSE, ONLY 48,000 MILES AND TERRIBLY NOISY, GRINDING SOUND WHEN SLOWING AND STARTING.  HAD KEPT LETTER FROM SATURN DATED 3/2004 EXTENDING WARRANTY FOR FAULTY VTI TRANSMISSION, ONLY GOOD FOR 5YEARS AFTER PURCHASE OR 75,000 MILES.  AFTER VIEWING ALL OF THE CUSTOMER COMPLAINTS ON THE INTERNET WHERE TRANSMISSIONS  HAVE FAILED BETWEEN 50-60,000 MILES.  THIS SHOULD HAVE BEEN A RECALL.  I'M UNFORTUNATELY OUTSIDE OF MY 5 YEAR PERIOD FOR ASSISTANCE IN REPAIRS.  *TR",IVOQ,N,null,N,N,N,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
562115,10142362,"Chrysler (FCA US, LLC)",DODGE,INTREPID,2000,N,2005-11-09,N,0,0,ENGINE AND ENGINE COOLING:ENGINE,LOUISVILLE,KY,2B3HD46R7YH,2005-11-10,2005-11-10,84000,1,DT:  THE CONTACT  HEARD A TICKING NOISE COMING FROM THE LOWER END OF THE ENGINE.  APPROXIMATELY A WEEK AGO  THE CONTACT'S  SON TOLD HIM THE OIL LIGHT WAS FLICKERING ON AND OFF.  WHEN HE CHANGED THE OIL HE FOUND A METALLIC SHIMMER IN THE OIL WITH LARGER FLAKES OF METAL.  THE VEHICLE HAS BEEN ROUTINELY MAINTAINED.  THE VEHICLE HAS NOT BEEN INSPECTED BY THE DEALER TO DETERMINE THE PROBLEM.   *AK,EVOQ,N,2004-08-01,N,Y,Y,6,FWD,FI,GS,AUTO,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,CHAMPION CAR AND TRUCK SALES,UNKNOWN,LOUISVILLE,KY,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
873854,10419479,Ford Motor Company,FORD,ESCAPE,2007,N,2011-05-03,N,0,0,SEAT BELTS,STRONGSVILLE,OH,1FMYU03Z37K,2011-08-15,2011-08-15,60000,-1,"TL* THE CONTACT OWNS A 2007 FORD ESCAPE.  WHEN THE VEHICLE WAS PURCHASED, THE CONTACT STATED THAT HE NOTICED TAPE WRAPPED AROUND THE SEAT BELT LATCH, LOCATED IN THE REAR OF THE VEHICLE.  THE SEAT BELT METAL LATCH WAS LOOSE AND THERE WAS ALSO A CRACK IN THE METAL LATCH.  THE DEALER MADE THE CONTACT AWARE THAT THE TAPE WAS COSMETIC AND DENIED ANY ASSISTANCE WITH REPAIR.  THE MANUFACTURER WAS NOTIFIED, BUT DENIED ANY ASSISTANCE WITH REPAIR TO THE VEHICLE.  THE VEHICLE WAS NOT REPAIRED. THE FAILURE MILEAGE WAS 60,000 AND THE CURRENT MILEAGE WAS 69,692.",EVOQ,N,null,N,N,N,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
582495,10157899,Honda (American Honda Motor Co.),HONDA,CIVIC,2006,N,2006-05-18,N,0,0,VEHICLE SPEED CONTROL,BOTHELL,WA,2HGFG21566H,2006-05-19,2006-05-19,25,20,"THE RAPID, DELAYED DECELERATION THAT OCCURS WITH THE VEHICLE WHEN YOU LET OFF THE ACCELERATOR PEDAL POSES A SAFETY ISSUE.  THE CAR HAS A COMPLETELY NON-LINEAR, RAPID, SUDDEN DECELERATION APPROXIMATELY 1 SECOND AFTER LETTING OFF THE ACCELERATOR.  THIS CAN CAUSE UNEXPECTED VEHICLE OVER STEER, PARTICULARLY WHEN THE CAR IS DRIVEN IN A SPIRITED FASHION WHICH IS ITS TARGET MARKET.   *JB",IVOQ,N,2006-04-26,Y,Y,Y,4,FWD,FI,GS,MAN,20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,HONDA OF KIRKLAND,UNKNOWN,KIRKLAND,WA,98033,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
883285,10428326,"Chrysler (FCA US, LLC)",CHRYSLER,300,2006,N,2011-10-03,N,0,0,POWER TRAIN,TWINBROOK PINES,FL,2C3KA63H16H,2011-10-03,2011-10-03,55000,-1,"TL* THE CONTACT OWNS A 2006 CHRYSLER 300. THE CONTACT STATED THAT THE GEAR WOULD NOT SHIFT OUT OF PARK. THE MANUFACTURER WAS CONTACTED AND THEY ADVISED THE CONTACT THAT THE VIN WAS NOT INCLUDED IN NHTSA CAMPAIGN ID NUMBER: 05V460000 (POWER TRAIN: AUTOMATIC TRANSMISSION) AND DENIED ASSISTANCE WITH THE REPAIR. THE VEHICLE WAS NOT REPAIRED. THE FAILURE AND THE CURRENT MILEAGE WAS 55,000.",EVOQ,N,null,N,N,N,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
721979,10272418,Honda (American Honda Motor Co.),HONDA,VTX1300,2005,N,2009-05-10,N,0,0,"FUEL SYSTEM, GASOLINE:DELIVERY",LAKE MARY,FL,1HFSC52345A,2009-05-30,2009-05-30,7000,1,2005 HONDA VTX 1300R  1 = NORMAL OPERATION  2 = FUEL VALVE LEAK. SAME AS DESCRIBED IN - NHTSA CAMPAIGN ID NUMBER: 08V141000 FOR 2007 HONDA VTX 1300R  3 = DIAPHRAGM REPLACEMENT REQUIRED.  THE RESULTING CONDITION AND FIRE HAZARD ON THIS 2005 IS THE SAME AS THE RECALLED YEAR OF 2007 AS WELL AND SHOULD ALSO BE RECALLED. THIS IS NOT AN AUTOMOBILE AND AS SUCH OFFERS NO PROTECTION FROM FIRE. THE FUEL LEAKS DIRECTLY ON THE RIDERS LEFT LEG. SURLY THIS SHOULD NOT BE OVERLOOKED BY THE MANUFACTURER AS A LESS IMPORTANT ISSUE THAN THE 2007-2008 MODELS. *TR,IVOQ,N,null,N,N,N,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
757970,10305571,Toyota Motor Corporation,TOYOTA,PRIUS,2008,N,2009-10-01,N,0,0,"SERVICE BRAKES, ELECTRIC",CARLSBAD,CA,JTDKB20U283,2010-02-04,2010-02-04,30000,1,"I HAVE 2008 TOYOTA PRIUS AND I HAD ALSO HAD ISSUES WHEN TRYING TO BRAKE OVER UNEVEN SPEED BUMPS OR METAL CONNECTIONS IN BRIDGES (I DO NOT KNOW THE NAME OF THE CONNECTORS).  ONE TIME WHILE DRIVING ON THE BRIDGE I STARTED TO BRAKE SINCE THE UPCOMING STOPLIGHT HAD TURNED RED. TRYING TO SLOW MY CAR DOWN (SINCE I WAS DRIVING A STREET, I WAS NOT GOING FAST IN THE FIRST PLACE),  I  PRESSED MY BRAKE PEDAL AS I WAS GOING OVER THE METAL BRIDGE CONNECTORS AND THE BRAKES DID NOT WORK.  IT WAS IF I WAS DRIVING ON ICE.  THERE WAS A CAR AHEAD OF ME SO I SLAMMED REAL HARD ON THE BRAKES AND LUCKILY I WAS ABLE TO STOP JUST A FEW INCHES BEHIND THE OTHER CAR SO I DID NOT HIT IT.  IT WAS REAL CLOSE CALL.  I HAVE HAD SIMILAR EXPERIENCES WHEN I GO OVER SPEED BUMPS (AND I AM GOING SLOWLY OVER THE BUMPS).  IT TAKES A WHILE FOR THE BRAKES TO TAKE EFFECT.  SO I DO NOT BELIEVE THIS PROBLEM IS ONLY RELATED TO THE NEWER 2010 PRIUS MODEL. AS DISCUSSED, I HAVE BRAKING PROBLEMS WITH MY OLDER 2008 PRIUS.     ALSO, I WOULD LIKE TO ADD THAT I BELIEVE THE STICKY PEDAL PROBLEM CAN ALSO BE FOUND ON JAPANESE MADE TOYOTAS (SUCH AS THE PRIUS).  IF YOU LOOK UP ""STICKING ACCELERATOR PEDAL"" ON THE INTERNET, YOU WILL FIND THE SAME ISSUE HAS HAPPENED WITH THE PRIUS TOO.  HOWEVER, LUCKILY, I HAVE NOT EXPERIENCED THIS STICKY PEDAL PROBLEM. *TR",IVOQ,N,null,N,N,N,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
590027,10163560,"General Motors, LLC",PONTIAC,GTO,2006,N,2006-07-19,N,0,0,SUSPENSION,LEESBURG,VA,6G2VX12U96L,2006-07-26,2006-07-26,1292,1,"RIGHT FRONT STRUT ON MY 2006 GTO.  STRUT WAS COLLAPSED AND LEAKING.  THERE IS A GM INFORMATION MEMO ON THIS - PIC4141.  CAR HAD 1200 MILES ON IT, I AM WAITING A WEEK AND DUE TO MANY OTHER GTO HAVING THIS PROBLEM, I AM STILL WAITING FOR A PART.  *NM",IVOQ,N,2006-07-01,Y,N,N,8,RWD,FI,GS,MAN,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,null,UNKNOWN,UNKNOWN,KOONS OF MANASSAS,UNKNOWN,MANASSAS,VA,20109,V,UNKNOWN,N,N,2025-11-24T05:36:38.581Z
